,avg365,avg100,avg15,avg5,autocorrelation1,autocorrelation2,autocorrelation5,autocorrelation10,volAvg365,volAvg100,volAvg15,volAvg5,initialPrice
0,35.10816438356164,41.319300000000005,42.09,42.30799999999999,0.9972295999749746,0.9946798619679481,0.9876247097092006,0.976178877383299,37329415.34246575,32021793.0,29176260.0,15402460.0,41.75
0,35.83295890410959,41.487899999999996,40.339333333333336,38.083999999999996,0.9973081360603471,0.9947958954015466,0.9879508279168598,0.9772074987229366,37629050.68493151,36170192.0,50411453.333333336,87557360.0,36.86
0,36.38030136986301,40.9711,38.93399999999999,39.588,0.9974285202849672,0.9949929946471716,0.9883511738554254,0.9778604384294701,35874838.08219178,34828535.0,31727453.333333332,30063060.0,39.46
0,36.925123287671234,40.461999999999996,37.54666666666667,36.914,0.9976796525175008,0.9954698921351158,0.9894326154587052,0.9805622621965677,35456368.76712329,35049277.0,40280266.666666664,37060760.0,36.61
0,37.38408219178082,39.598800000000004,39.91133333333333,43.656000000000006,0.9978067696312047,0.9956789299010873,0.9897027928791933,0.9813806801355298,35192329.8630137,37902980.0,45444806.666666664,72688560.0,43.75
0,37.93586301369863,39.7409,42.89666666666666,42.612,0.997936800461763,0.9959277801361899,0.9903441717890208,0.9822896948871762,34656945.75342466,38398321.0,28288140.0,27688280.0,42.74
0,38.52761643835616,40.103699999999996,41.40933333333333,40.74,0.998061238750775,0.9961759965745656,0.9909460498276793,0.9834715894847272,34310430.4109589,34727086.0,32453620.0,35073860.0,40.23
0,39.090575342465755,40.6421,41.783333333333324,41.73,0.9981566865142704,0.9963615239278598,0.9914144218874406,0.9844529878207571,33715973.97260274,35021236.0,34547733.333333336,37191120.0,42.36
0,39.54383561643836,41.4642,40.782,39.08800000000001,0.9981953092719628,0.9964019936305805,0.9915296746160155,0.9848865751631446,33965958.63013699,34815367.0,41491993.333333336,49531240.0,38.1
0,39.80487671232876,41.24660000000001,39.87400000000001,39.872,0.9982387890393972,0.9965144488748505,0.9918747519876973,0.9855022461595877,33571085.75342466,32288289.0,30290413.333333332,30525300.0,40.64
0,40.36852054794521,41.64009999999999,45.33733333333334,48.814,0.9983124411112918,0.9966386841577094,0.9920396203709112,0.9860821443895691,34010210.68493151,34901220.0,42316573.333333336,47891180.0,48.5
0,41.09241095890411,43.288000000000004,49.18600000000001,49.6,0.9984474715744006,0.9969197144722372,0.9927178028669804,0.9870737933973647,34570249.31506849,35125854.0,32955813.333333332,27818300.0,50.64
0,41.894794520547954,45.23620000000001,50.844,51.35,0.9985664734098822,0.9971937248291598,0.993402876015863,0.9883844775586733,34706775.34246575,36076241.0,34869380.0,21757360.0,50.26
0,42.3872602739726,46.690200000000004,47.66733333333333,48.12,0.9986066171258638,0.9972978860805312,0.9936993715096549,0.9889355581207393,35717978.35616438,37603745.0,49598213.333333336,49301840.0,50.18
0,42.75693150684931,48.129400000000004,47.03733333333333,47.448,0.998652441241219,0.9973640192223192,0.9937991719597886,0.9893342061275923,36437122.73972603,39499837.0,36512846.666666664,31295840.0,48.57
0,43.283726027397265,48.98980000000002,49.82,50.388,0.9987251488104928,0.9975117224296267,0.9941496291236447,0.9899279599711275,35617520.0,37352743.0,28056000.0,22053640.0,51.33
0,43.7593698630137,49.07910000000001,49.608,46.971999999999994,0.9987747285628135,0.9976145389318012,0.9943295783632135,0.9905032927090798,35687880.82191781,37058239.0,38256293.333333336,40335060.0,46.75
0,44.0214794520548,48.342,47.62133333333333,48.54200000000001,0.9988163709749994,0.9977047578840476,0.9945274481598019,0.9906453633085947,35451608.21917808,34861504.0,25249526.666666668,27701560.0,49.16
0,44.35427397260274,48.27740000000001,46.833999999999996,46.4,0.9988490090304294,0.9977661664225383,0.9947482546078714,0.9909782803909025,35935946.84931507,31828706.0,44768526.666666664,56338360.0,47.59
0,44.995616438356166,48.85240000000001,51.138,52.57000000000001,0.9988958981517374,0.9978672654568351,0.9949344701638645,0.991173310548656,35003728.76712329,31500369.0,35015820.0,30825240.0,52.63
0,45.959972602739725,49.73340000000001,54.07666666666666,54.220000000000006,0.9989683479589987,0.9980036962881216,0.9952575760117247,0.9917647695240952,34033649.04109589,30214287.0,18386926.666666668,18746300.0,53.9
0,46.88986301369863,50.80579999999999,53.59466666666666,53.89,0.9990193895902698,0.9981013734429204,0.9955165493200735,0.9922096240223405,33624957.80821918,28205734.0,26161340.0,25132900.0,53.74
