,finalPrice,score,change
0,36.07,-2.043991616766465,-5.68
0,39.43,5.664378301967618,2.5700000000000003
0,36.56,-1.3921249366447026,-2.8999999999999986
0,43.74,15.917304015296375,7.130000000000003
0,42.41,-0.2056752000000008,-1.3400000000000034
0,39.96,-1.3528655294167697,-2.780000000000001
0,42.26,4.807066413576482,2.030000000000001
0,39.65,0.7167646364494835,-2.710000000000001
0,40.32,4.666344706911634,2.219999999999999
0,47.95,17.56532457945598,7.310000000000002
0,49.85,3.1065309278350544,1.3500000000000014
0,50.88,1.9964661424673291,0.240000000000002
0,50.52,2.3906737596079437,0.2600000000000051
0,47.0,-0.6503160621761671,-3.1799999999999997
0,51.02,5.700758885956546,2.450000000000003
0,46.07,-1.7606667408829875,-5.259999999999998
0,49.3,5.542545709192762,2.549999999999997
0,47.6,0.47693043124491896,-1.5599999999999952
0,52.72,10.934131750367712,5.1299999999999955
0,53.78,3.0394845888854913,1.1499999999999986
0,53.91,1.0594957593426992,0.00999999999999801
0,56.08,6.021189855920036,2.3399999999999963
0,56.78,3.2332992164169645,0.8100000000000023
0,58.55,7.282562447711242,2.769999999999996
0,60.92,5.139717483466168,1.9500000000000028
0,60.65,2.3065998998497763,0.740000000000002
0,62.44,2.196783625730986,0.8799999999999955
0,64.9,5.860215006860581,2.760000000000005
0,66.59,2.837951091461731,0.7900000000000063
0,65.72,1.9615503101028189,-1.1200000000000045
0,69.32,10.647271384615381,4.319999999999993
0,71.67,5.529732156320681,2.469999999999999
0,71.4,2.3076618456328504,0.5300000000000011
0,79.73,18.039633668903807,8.210000000000008
0,81.08,3.5974065745701167,1.3499999999999943
0,82.4,5.291234692620431,1.230000000000004
0,91.53,18.297955486542453,8.730000000000004
0,90.76,5.796720061442155,-0.03999999999999204
0,88.34,5.00743982048143,-1.5300000000000011
0,90.51,13.151679560713168,4.829999999999998
0,96.08,9.299579119086449,4.1299999999999955
0,95.85,1.1174903882140694,-2.1200000000000045
0,103.12,17.660328562612055,5.900000000000006
0,109.61,12.913232861838361,6.299999999999997
0,111.6,7.223777055702267,2.589999999999989
0,104.23,-1.9790116895279855,-8.579999999999998
0,108.67,13.241677355152587,5.310000000000002
0,99.54,-1.4063188558560635,-10.309999999999988
0,102.34,11.868573590889445,3.240000000000009
0,110.26,20.382988186240436,9.530000000000001
0,116.08,14.273055788455325,5.329999999999998
0,128.54,23.52312983243492,11.399999999999991
0,122.18,0.04950052728139913,-3.6799999999999926
0,132.33,34.89402939685762,13.950000000000017
0,134.61,6.280189781120932,0.5800000000000125
0,136.64,4.285680551667133,0.2599999999999909
0,137.8,8.081616850849198,2.969999999999999
0,142.1,15.160538477540774,6.25
0,150.55,17.672460021060047,8.100000000000023
0,156.83,18.12417381448649,8.100000000000023
0,169.29,23.641701321194542,9.549999999999983
0,161.56,10.486062798560248,-11.859999999999985
0,157.27,3.173954395091311,-15.039999999999992
0,178.71,60.05354868481775,27.02000000000001
0,183.25,22.259050261359057,9.159999999999997
